name_clean,lat,lon
велика кишеня,50.4328244,30.5414253
фора,50.4489626,30.6190143
еко маркет,50.5122294,30.4122608
фора,50.4465756,30.523146
фора,50.4467911,30.4518698
еко маркет,50.4016718,30.6363944
фора,50.4255651,30.4915339
фора,50.4124499,30.6600562
фора,50.408064,30.6400331
еко маркет,50.4041042,30.5236444
фора,50.4825478,30.6314222
фора,50.3888283,30.4960345
атб,50.5106029,30.6171949
фора,50.4859781,30.6314873
атб,50.500803,30.5857261
атб,50.4087246,30.4037958
атб,50.4166058,30.6442913
атб,50.4934454,30.406609
велика кишеня,50.4065651,30.6282544
еко маркет,50.5025255,30.5918447
фора,50.3644292,30.5558437
еко маркет,50.4329616,30.6014532
ашан,50.367604,30.4582191
атб,50.4154606,30.6174506
фора,50.4674503,30.4150804
велика кишеня,50.4084522,30.6554427
атб,50.428216,30.601433
еко маркет,50.4271021,30.5932832
фора,50.4319522,30.6104159
фора,50.4984982,30.5063023
varus,50.4159768,30.6593871
еко маркет,50.4388458,30.4397311
новус,50.5223291,30.6179731
фора,50.4383831,30.6287502
фора,50.4748359,30.5973342
фора,50.3849765,30.4859244
фора,50.446424,30.6726221
фора,50.4644366,30.4858326
еко маркет,50.3828149,30.4901031
фора,50.5086529,30.5991517
фора,50.459177,30.4218107
фора,50.3994018,30.5290103
фора,50.5135282,30.4505392
атб,50.523983,30.6204199
фора,50.449602,30.6134083
фора,50.4698483,30.4889779
фора,50.4694257,30.4860824
фора,50.4544854,30.4791614
фора,50.4526825,30.6207914
фора,50.4541448,30.627482
фора,50.4765597,30.6245346
фора,50.4439165,30.6279531
атб,50.4702786,30.6257158
лоток,50.3937576,30.5039731
лоток,50.4377794,30.4749058
фора,50.3639441,30.4651319
атб,50.5017156,30.4344889
велмарт,50.4464658,30.4910054
фора,50.4255095,30.3753644
атб,50.4531305,30.4692538
фора,50.4386126,30.419652
атб,50.5141542,30.4504934
атб,50.4941084,30.4604282
атб,50.4483243,30.592518
фора,50.4429368,30.5992717
велмарт,50.4006948,30.5127994
фора,50.451198,30.6271821
еко маркет,50.4251271,30.5250675
фора,50.430113,30.6515778
атб,50.4178354,30.6543006
атб,50.4839757,30.3952118
фора,50.4810082,30.3962607
атб,50.4762589,30.4054087
лоток,50.3934714,30.4907997
фора,50.4184958,30.4920561
фора,50.3990723,30.6480618
атб,50.4692916,30.4843277
лоток,50.3891764,30.4636674
новус,50.4854238,30.467152
атб,50.5221976,30.508744
фора,50.41485,30.3818069
фора,50.4608726,30.3778541
атб,50.410155,30.6374378
фора,50.3662339,30.4539864
новус,50.4063416,30.3981814
фора,50.4767779,30.4418709
фора,50.47081,30.6408325
атб,50.4388745,30.596199
фора,50.4881512,30.5905916
велмарт,50.4039593,30.5312631
фора,50.4894108,30.5920373
фора,50.4324165,30.3690092
атб,50.4310075,30.3684706
фора,50.4281276,30.3661631
фора,50.4784236,30.6314996
фора,50.4424975,30.4425322
фора,50.4234774,30.4262333
ашан,50.5051848,30.4732011
фора,50.4596285,30.6191767
атб,50.4787667,30.6333632
фора,50.4243147,30.3845653
фора,50.5295312,30.6272808
varus,50.3953157,30.620369
велика кишеня,50.4650295,30.3620831
атб,50.4799669,30.4052493
ашан,50.4577833,30.6120956
лоток,50.4192828,30.4949701
атб,50.4213856,30.4904179
атб,50.4472369,30.6287301
атб,50.4451518,30.4209688
велика кишеня,50.4319097,30.6340453
фора,50.4419816,30.4328527
атб,50.4461486,30.4164841
фора,50.4449545,30.4154097
еко маркет,50.3780476,30.7052717
фора,50.408759,30.6470467
атб,50.5184281,30.4630294
велмарт,50.396641,30.5045224
атб,50.4256169,30.6608228
новус,50.3867092,30.4696263
лоток,50.418,30.4781
еко маркет,50.3773076,30.4559219
фора,50.4650718,30.6252669
фора,50.4673849,30.6237313
фора,50.4406872,30.4091694
фора,50.463016,30.4348403
атб,50.449643,30.4780709
новус,50.4242473,30.4777816
новус,50.4311531,30.454648
лоток,50.3866315,30.4653347
новус,50.4654054,30.5105934
новус,50.4309874,30.4724427
атб,50.4753423,30.6235281
атб,50.4250267,30.6857562
атб,50.4434457,30.4151156
лоток,50.4691771,30.4439817
еко маркет,50.4360622,30.4595706
атб,50.4329412,30.4541794
атб,50.4384587,30.4372077
ашан,50.4936532,30.462185
еко маркет,50.4326876,30.4813758
еко маркет,50.4396577,30.483671
атб,50.478069,30.4504697
лоток,50.380253,30.4465862
фора,50.5523909,30.3361453
атб,50.4313743,30.4315568
атб,50.4271391,30.4288257
атб,50.4278198,30.4171984
фора,50.4264145,30.4194204
фора,50.4302996,30.4162453
фора,50.4432534,30.6136011
новус,50.4239779,30.3681524
varus,50.458274,30.614031
атб,50.4719378,30.4721572
фора,50.4627912,30.6277524
фора,50.4056668,30.5056181
атб,50.4308919,30.3897458
новус,50.3995744,30.5193385
фора,50.5249821,30.5114839
еко маркет,50.4795022,30.446277
фора,50.5258464,30.6275849
атб,50.5267305,30.6195651
фора,50.447109,30.5033719
лоток,50.4609,30.4642
фора,50.4361092,30.4687414
фора,50.4656899,30.4690083
фора,50.4449673,30.6622643
атб,50.4676572,30.4711749
еко маркет,50.4718265,30.4466659
лоток,50.3857338,30.4711446
лоток,50.4350526,30.4577608
фора,50.4293492,30.4301902
лоток,50.4686,30.4318
атб,50.4568549,30.3652599
атб,50.407419,30.5143955
атб,50.4045483,30.6803903
атб,50.4705493,30.4064044
атб,50.4933386,30.520359
фора,50.4357025,30.6006914
лоток,50.424538,30.452508
фора,50.431603,30.4215054
фора,50.4696129,30.4141889
атб,50.4074413,30.6552311
атб,50.4376783,30.450304
атб,50.4739989,30.4451357
новус,50.4415482,30.6253133
атб,50.408381,30.6301344
атб,50.4436042,30.5918141
фора,50.4653879,30.4926655
еко маркет,50.4181142,30.5498524
новус,50.4340231,30.6465158
еко маркет,50.5074444,30.6077212
атб,50.4201558,30.6346745
атб,50.422371,30.4690748
атб,50.4462016,30.4434103
атб,50.5201377,30.4569572
атб,50.4557832,30.4846479
лоток,50.4594267,30.3719619
атб,50.4881909,30.468394
фора,50.3498107,30.4762361
фора,50.5257556,30.4562742
атб,50.5071277,30.5948981
фора,50.4370696,30.3827389
атб,50.4004611,30.6315688
новус,50.4549673,30.6108648
