"Store,lat,long,Metric Store,pop_metric_balltree,pop_metric_idw"
"Store 1,50.415258,30.522344,2.182984967003582,2.2084480478438433,2.256927079452018"
"Store 2,50.495292,30.512299,2.636888906983799,2.3937283262300797,2.3910924511066334"
"Store 3,50.414301,30.650869,2.503790683057181,2.3097038733522215,2.367799691908168"
"Store 4,50.471703,30.47874,2.376576957056512,2.084600234852634,2.0840859029466765"
"Store 5,50.532248,30.608288,2.3408405498123317,2.5162527271456105,2.4902242285166643"
"Store 6,50.441108,30.520819,2.1595671932336202,1.9524425396772107,1.926784006321576"
"Store 7,50.518478,30.45828,2.4056877866727775,2.1829167926901345,2.267347999535497"
"Store 8,50.49556,30.358346,2.3654879848909,2.1537462558500122,2.136060025726712"
"Store 9,50.462101,30.481258,2.781108835729466,2.0514783197735413,2.0551460138432813"
"Store 10,50.445203,30.444036,2.6270584640009895,2.0871212736653533,2.112328394288608"
"Store 11,50.411143,30.40476,2.182414652434554,2.0556699917472105,2.1838246899618645"
"Store 12,50.40711,30.66618,2.582744965691277,2.3851543593958686,2.3564611071955555"
"Store 13,50.493389,30.576474,2.34966598409663,2.2873398063134704,2.3271753944795024"
"Store 14,50.500799,30.450873,2.3510228525841237,2.1859008445501855,2.143556648968425"
"Store 15,50.520226,30.51452,2.754348335711019,2.373738105196231,2.374052810563109"
"Store 16,50.509914,30.50591,2.5659658174466666,2.3779735915423963,2.391918150368556"
"Store 17,50.497957,30.517891,2.2940250940953226,2.386954101552013,2.4191098926160057"
"Store 18,50.505198,30.512144,2.401745082237063,2.3709122898209376,2.4051207317373318"
"Store 19,50.462079,30.494244,2.2615007731982804,1.9682883839605294,2.1517689166893517"
"Store 20,50.431315,30.383651,2.51067903103221,2.2712513930904157,2.247097100628804"
"Store 21,50.44743,30.49444,2.50745106090197,1.955457987705486,1.9455119202902094"
"Store 22,50.405393,30.631846,2.230448921378274,2.592910710592124,2.68094845365381"
"Store 23,50.464371,30.610285,2.4581844355702627,2.2305999188672794,2.309046837860838"
"Store 24,50.405591,30.611193,2.6080979463252794,2.6242295792772343,2.624337005347132"
"Store 25,50.399276,30.616704,2.742175043223677,2.6022671497883794,2.61485846256619"
"Store 26,50.470626,30.461664,2.0149403497929366,2.0517855735694472,2.081632807689111"
"Store 27,50.414054,30.636607,2.5299434016586693,2.460224099684204,2.5227306812579977"
"Store 28,50.41074,30.545757,2.3087777736647213,2.200630038409241,2.3162533500598124"
"Store 29,50.502558,30.605179,2.631950826259217,2.3649387585880386,2.380888046499668"
"Store 30,50.513155,30.623016,2.5150786750759226,2.4594273201668044,2.4676158765056653"
"Store 31,50.507233,30.44086,2.2591158441850663,2.2170793614576563,2.2134821742727078"
"Store 32,50.417252,30.618417,2.2709116394104814,2.473198524151871,2.52895100358495"
"Store 33,50.505279,30.453488,2.4316853446860116,2.2059392434255054,2.1236528268767136"
"Store 34,50.401534,30.564091,2.498586208817518,2.1208013030033093,2.113519647852219"
"Store 35,50.451393,30.63235,2.2973227142053028,2.097103679985201,2.043570402822498"
"Store 36,50.492563,30.599994,2.516667559099043,2.265976365952979,2.253655353699864"
"Store 37,50.373832,30.446797,2.495821753385906,2.305877783922052,2.3411436680461772"
"Store 38,50.424666,30.383076,2.3780343224573315,2.2782503742820244,2.3178410085353103"
"Store 39,50.384299,30.45815,2.5733358400660675,2.259049913309541,2.3750816643029187"
"Store 40,50.4272,30.530629,2.3062105081677613,2.054513105710724,2.3819174981246216"
